day,month,location,length_mm
29,7,Glacier Falls,60
29,7,Glacier Falls,56
29,7,Glacier Falls,55
29,7,Glacier Falls,54
29,7,Glacier Falls,32
27,7,Glacier Falls,54
19,7,Glacier Falls,52
19,7,Glacier Falls,48
19,7,Glacier Falls,47
19,7,Glacier Falls,46
18,6,Glacier Falls,92
18,6,Glacier Falls,70
18,6,Glacier Falls,60
16,7,Glacier Falls,58
16,7,Glacier Falls,55
16,6,Glacier Falls,71
16,6,Glacier Falls,69
16,6,Glacier Falls,67
16,6,Glacier Falls,67
16,6,Glacier Falls,65
16,6,Glacier Falls,64
16,6,Glacier Falls,63
16,6,Glacier Falls,63
16,6,Glacier Falls,63
16,6,Glacier Falls,63
16,6,Glacier Falls,63
16,6,Glacier Falls,62
16,6,Glacier Falls,62
16,6,Glacier Falls,62
16,6,Glacier Falls,62
16,6,Glacier Falls,62
16,6,Glacier Falls,61
16,6,Glacier Falls,60
16,6,Glacier Falls,60
16,6,Glacier Falls,59
16,6,Glacier Falls,58
16,6,Glacier Falls,58
16,6,Glacier Falls,58
16,6,Glacier Falls,58
16,6,Glacier Falls,57
16,6,Glacier Falls,57
16,6,Glacier Falls,57
16,6,Glacier Falls,55
16,6,Glacier Falls,55
16,6,Glacier Falls,55
16,6,Glacier Falls,55
16,6,Glacier Falls,55
16,6,Glacier Falls,55
16,6,Glacier Falls,55
16,6,Glacier Falls,55
16,6,Glacier Falls,54
16,6,Glacier Falls,53
16,6,Glacier Falls,53
16,6,Glacier Falls,53
16,6,Glacier Falls,52
16,6,Glacier Falls,52
16,6,Glacier Falls,52
16,6,Glacier Falls,50
16,6,Glacier Falls,50
16,6,Glacier Falls,50
16,6,Glacier Falls,50
16,6,Glacier Falls,47
16,6,Glacier Falls,47
16,6,Glacier Falls,33
15,7,Glacier Falls,48
15,7,Glacier Falls,47
13,7,Glacier Falls,47
13,7,Glacier Falls,45
10,7,Glacier Falls,68
7,7,Glacier Falls,55
7,7,Glacier Falls,54
7,6,Glacier Falls,70
7,6,Glacier Falls,67
7,6,Glacier Falls,65
7,6,Glacier Falls,65
7,6,Glacier Falls,64
7,6,Glacier Falls,63
7,6,Glacier Falls,63
7,6,Glacier Falls,62
7,6,Glacier Falls,62
7,6,Glacier Falls,62
7,6,Glacier Falls,61
7,6,Glacier Falls,61
7,6,Glacier Falls,61
7,6,Glacier Falls,60
7,6,Glacier Falls,60
7,6,Glacier Falls,60
7,6,Glacier Falls,60
7,6,Glacier Falls,58
7,6,Glacier Falls,58
7,6,Glacier Falls,57
7,6,Glacier Falls,57
7,6,Glacier Falls,57
7,6,Glacier Falls,57
7,6,Glacier Falls,57
7,6,Glacier Falls,57
7,6,Glacier Falls,57
7,6,Glacier Falls,57
7,6,Glacier Falls,57
7,6,Glacier Falls,57
7,6,Glacier Falls,56
7,6,Glacier Falls,56
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,55
7,6,Glacier Falls,54
7,6,Glacier Falls,54
7,6,Glacier Falls,54
7,6,Glacier Falls,54
7,6,Glacier Falls,52
7,6,Glacier Falls,52
7,6,Glacier Falls,52
7,6,Glacier Falls,52
7,6,Glacier Falls,52
7,6,Glacier Falls,51
7,6,Glacier Falls,51
7,6,Glacier Falls,51
7,6,Glacier Falls,50
7,6,Glacier Falls,50
7,6,Glacier Falls,50
7,6,Glacier Falls,50
7,6,Glacier Falls,50
7,6,Glacier Falls,49
7,6,Glacier Falls,49
7,6,Glacier Falls,48
7,6,Glacier Falls,48
7,6,Glacier Falls,47
7,6,Glacier Falls,47
7,6,Glacier Falls,47
7,6,Glacier Falls,46
7,6,Glacier Falls,45
7,6,Glacier Falls,44
7,6,Glacier Falls,42
7,6,Glacier Falls,39
7,6,Glacier Falls,34
7,6,Glacier Falls,32
5,6,Glacier Falls,53
5,6,Glacier Falls,50
5,6,Glacier Falls,50
5,6,Glacier Falls,43
5,6,Glacier Falls,28
4,7,Glacier Falls,53
4,7,Glacier Falls,52
4,7,Glacier Falls,52
4,7,Glacier Falls,48
3,7,Glacier Falls,65
3,7,Glacier Falls,62
3,7,Glacier Falls,58
3,7,Glacier Falls,57
3,7,Glacier Falls,55
3,7,Glacier Falls,55
3,7,Glacier Falls,54
3,7,Glacier Falls,52
3,7,Glacier Falls,52
3,7,Glacier Falls,52
3,7,Glacier Falls,51
2,7,Glacier Falls,48
2,7,Glacier Falls,47
