year,log_all_farm_leps,log_ktf_leps,log_hsd_leps
2005,6.941777388273323,6.611802842625636,5.26196559920319
2006,6.963597294608115,6.878839002710707,6.4687288271878645
2007,6.6110228271415865,6.251487847832299,6.067226059745473
2008,6.3831231116105736,6.18447843828797,4.950223718197389
2009,6.036024518292044,5.214224249756022,4.523459009182604
2010,6.192764908829085,5.568974977387593,4.899428603705481
2011,5.770850072647904,5.406439815588655,3.3577128810453662
2004,7.234003038973102,6.983644281128016,6.7841104912961265
2012,5.99725621965719,5.707645772782842,5.075933495558072
2014,6.624502407364285,5.2275483670997795,4.863186030848434
2015,6.870918893966854,6.613191710729623,6.12261810039154
2016,6.602185106008008,6.333579066463335,6.174142651749245
2017,6.0103305598285175,5.828701011927932,5.484349487385855
2018,6.372004435644207,6.033722842855773,5.607119388393838
2019,6.432319506417614,6.300377752139431,5.259395065655206
2013,6.015787628372447,5.456891204794488,4.40931503922702
2021,6.398640382194587,5.732918073176081,5.408143578647754
2020,6.093662244860844,5.274326804304883,5.274326804304883
2001,6.736701229828227,6.4206768602188555,-Inf
2002,7.0607206039631745,6.788367991791362,-Inf
2003,6.496157242442381,5.836222877207826,5.393337636251651
