year,fit,lower,upper,scenario
2001,13.768509231199172,9.19947119331772,18.337547269080623,scen3
2002,5.08669464871599,3.477457197709006,6.695932099722974,scen3
2003,0.6736180739005124,0.45483513570547146,0.8924010120955534,scen3
2004,6.483478221947865,4.474937798119814,8.492018645775916,scen3
2005,2.8227608456983195,1.9559189247419502,3.689602766654689,scen3
2006,0.6872834563679767,0.47243379292201687,0.9021331198139366,scen3
2007,0.5721620102965391,0.39291432768438433,0.751409692908694,scen3
2008,0.41688081020302153,0.2873697938840204,0.5463918265220227,scen3
2009,0.07590800141939424,0.050948696307163234,0.10086730653162526,scen3
2010,0.4922143927598976,0.33907770178848207,0.6453510837313131,scen3
2011,0.14989087840283463,0.1023881069964421,0.19739364980922716,scen3
2012,0.3253130430737751,0.22409482741145925,0.426531258736091,scen3
2013,0.23908509429682903,0.16466864236867987,0.31350154622497817,scen3
2014,0.18265017152192684,0.12530751074053934,0.23999283230331434,scen3
2015,1.328139143876106,0.920312513343742,1.7359657744084702,scen3
2016,0.3924386505456181,0.2702236131824942,0.514653687908742,scen3
2017,0.4604310509604134,0.31695026175160484,0.6039118401692221,scen3
2018,0.1405447968892092,0.09411956410951869,0.18697002966889972,scen3
2019,0.7081619183846101,0.48868679135373005,0.9276370454154901,scen3
2020,0.28714675644461823,0.19622403273319072,0.37806948015604575,scen3
2021,0.729115849558777,0.5039016444959761,0.9543300546215778,scen3
